raceId,round,circuitId,name,date,time_x,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Year,resultId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time_y,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
992,4,73,Azerbaijan Grand Prix,2018-04-29,12:10:00,16.66140350877193,45.651754385964914,1021.9131578947369,0.0,25.25175438596491,123.78947368421052,2.2228070175438597,2018,23859,807,4,27,14,\N,R,18,0.0,10,\N,\N,10,18,1:48.867,198.506,3
992,4,73,Azerbaijan Grand Prix,2018-04-29,12:10:00,16.66140350877193,45.651754385964914,1021.9131578947369,0.0,25.25175438596491,123.78947368421052,2.2228070175438597,2018,23860,839,10,31,7,\N,R,19,0.0,0,\N,\N,\N,0,\N,\N,4
992,4,73,Azerbaijan Grand Prix,2018-04-29,12:10:00,16.66140350877193,45.651754385964914,1021.9131578947369,0.0,25.25175438596491,123.78947368421052,2.2228070175438597,2018,23861,845,3,35,11,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,4
993,5,4,Spanish Grand Prix,2018-05-13,13:10:00,16.05047619047619,52.28666666666667,1001.5419047619048,0.7904761904761904,32.33904761904762,98.6952380952381,1.9523809523809523,2018,23862,1,131,44,1,1,1,1,25.0,66,1:35:29.972,5729972,64,3,1:19.133,211.770,1
993,5,4,Spanish Grand Prix,2018-05-13,13:10:00,16.05047619047619,52.28666666666667,1001.5419047619048,0.7904761904761904,32.33904761904762,98.6952380952381,1.9523809523809523,2018,23863,822,131,77,2,2,2,2,18.0,66,+20.593,5750565,56,5,1:19.478,210.850,1
993,5,4,Spanish Grand Prix,2018-05-13,13:10:00,16.05047619047619,52.28666666666667,1001.5419047619048,0.7904761904761904,32.33904761904762,98.6952380952381,1.9523809523809523,2018,23864,830,9,33,5,3,3,3,15.0,66,+26.873,5756845,62,4,1:19.422,210.999,1
993,5,4,Spanish Grand Prix,2018-05-13,13:10:00,16.05047619047619,52.28666666666667,1001.5419047619048,0.7904761904761904,32.33904761904762,98.6952380952381,1.9523809523809523,2018,23865,20,6,5,3,4,4,4,12.0,66,+27.584,5757556,61,2,1:19.128,211.783,1
993,5,4,Spanish Grand Prix,2018-05-13,13:10:00,16.05047619047619,52.28666666666667,1001.5419047619048,0.7904761904761904,32.33904761904762,98.6952380952381,1.9523809523809523,2018,23866,817,9,3,6,5,5,5,10.0,66,+50.058,5780030,61,1,1:18.441,213.638,1
993,5,4,Spanish Grand Prix,2018-05-13,13:10:00,16.05047619047619,52.28666666666667,1001.5419047619048,0.7904761904761904,32.33904761904762,98.6952380952381,1.9523809523809523,2018,23867,825,210,20,7,6,6,6,8.0,65,\N,\N,64,6,1:20.246,208.832,11
993,5,4,Spanish Grand Prix,2018-05-13,13:10:00,16.05047619047619,52.28666666666667,1001.5419047619048,0.7904761904761904,32.33904761904762,98.6952380952381,1.9523809523809523,2018,23868,832,4,55,9,7,7,7,6.0,65,\N,\N,61,9,1:21.324,206.064,11
993,5,4,Spanish Grand Prix,2018-05-13,13:10:00,16.05047619047619,52.28666666666667,1001.5419047619048,0.7904761904761904,32.33904761904762,98.6952380952381,1.9523809523809523,2018,23869,4,1,14,8,8,8,8,4.0,65,\N,\N,64,7,1:20.727,207.588,11
993,5,4,Spanish Grand Prix,2018-05-13,13:10:00,16.05047619047619,52.28666666666667,1001.5419047619048,0.7904761904761904,32.33904761904762,98.6952380952381,1.9523809523809523,2018,23870,815,10,11,15,9,9,9,2.0,64,\N,\N,43,8,1:21.128,206.562,12
993,5,4,Spanish Grand Prix,2018-05-13,13:10:00,16.05047619047619,52.28666666666667,1001.5419047619048,0.7904761904761904,32.33904761904762,98.6952380952381,1.9523809523809523,2018,23871,844,15,16,14,10,10,10,1.0,64,\N,\N,51,14,1:22.122,204.062,12
993,5,4,Spanish Grand Prix,2018-05-13,13:10:00,16.05047619047619,52.28666666666667,1001.5419047619048,0.7904761904761904,32.33904761904762,98.6952380952381,1.9523809523809523,2018,23872,840,3,18,18,11,11,11,0.0,64,\N,\N,60,12,1:22.095,204.129,12
993,5,4,Spanish Grand Prix,2018-05-13,13:10:00,16.05047619047619,52.28666666666667,1001.5419047619048,0.7904761904761904,32.33904761904762,98.6952380952381,1.9523809523809523,2018,23873,843,5,28,20,12,12,12,0.0,64,\N,\N,63,10,1:21.439,205.773,12
993,5,4,Spanish Grand Prix,2018-05-13,13:10:00,16.05047619047619,52.28666666666667,1001.5419047619048,0.7904761904761904,32.33904761904762,98.6952380952381,1.9523809523809523,2018,23874,828,15,9,17,13,13,13,0.0,64,\N,\N,50,15,1:22.487,203.159,12
993,5,4,Spanish Grand Prix,2018-05-13,13:10:00,16.05047619047619,52.28666666666667,1001.5419047619048,0.7904761904761904,32.33904761904762,98.6952380952381,1.9523809523809523,2018,23875,845,3,35,19,14,14,14,0.0,63,\N,\N,57,17,1:22.680,202.685,13
993,5,4,Spanish Grand Prix,2018-05-13,13:10:00,16.05047619047619,52.28666666666667,1001.5419047619048,0.7904761904761904,32.33904761904762,98.6952380952381,1.9523809523809523,2018,23876,838,1,2,11,\N,R,15,0.0,45,\N,\N,38,16,1:22.594,202.896,6
993,5,4,Spanish Grand Prix,2018-05-13,13:10:00,16.05047619047619,52.28666666666667,1001.5419047619048,0.7904761904761904,32.33904761904762,98.6952380952381,1.9523809523809523,2018,23877,839,10,31,13,\N,R,16,0.0,38,\N,\N,36,13,1:22.117,204.074,44
993,5,4,Spanish Grand Prix,2018-05-13,13:10:00,16.05047619047619,52.28666666666667,1001.5419047619048,0.7904761904761904,32.33904761904762,98.6952380952381,1.9523809523809523,2018,23878,8,6,7,4,\N,R,17,0.0,25,\N,\N,23,11,1:21.531,205.541,101
993,5,4,Spanish Grand Prix,2018-05-13,13:10:00,16.05047619047619,52.28666666666667,1001.5419047619048,0.7904761904761904,32.33904761904762,98.6952380952381,1.9523809523809523,2018,23879,154,210,8,10,\N,R,18,0.0,0,\N,\N,\N,0,\N,\N,4
993,5,4,Spanish Grand Prix,2018-05-13,13:10:00,16.05047619047619,52.28666666666667,1001.5419047619048,0.7904761904761904,32.33904761904762,98.6952380952381,1.9523809523809523,2018,23880,842,5,10,12,\N,R,19,0.0,0,\N,\N,\N,0,\N,\N,4
993,5,4,Spanish Grand Prix,2018-05-13,13:10:00,16.05047619047619,52.28666666666667,1001.5419047619048,0.7904761904761904,32.33904761904762,98.6952380952381,1.9523809523809523,2018,23881,807,4,27,16,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,4
994,6,6,Monaco Grand Prix,2018-05-27,13:10:00,26.64070796460177,50.8929203539823,1015.2106194690266,0.1238938053097345,34.60973451327434,182.50442477876103,1.382300884955752,2018,23882,817,9,3,1,1,1,1,25.0,78,1:42:54.807,6174807,13,5,1:15.562,158.984,1
994,6,6,Monaco Grand Prix,2018-05-27,13:10:00,26.64070796460177,50.8929203539823,1015.2106194690266,0.1238938053097345,34.60973451327434,182.50442477876103,1.382300884955752,2018,23883,20,6,5,2,2,2,2,18.0,78,+7.336,6182143,14,7,1:16.065,157.933,1
994,6,6,Monaco Grand Prix,2018-05-27,13:10:00,26.64070796460177,50.8929203539823,1015.2106194690266,0.1238938053097345,34.60973451327434,182.50442477876103,1.382300884955752,2018,23884,1,131,44,3,3,3,3,15.0,78,+17.013,6191820,15,8,1:16.270,157.508,1
994,6,6,Monaco Grand Prix,2018-05-27,13:10:00,26.64070796460177,50.8929203539823,1015.2106194690266,0.1238938053097345,34.60973451327434,182.50442477876103,1.382300884955752,2018,23885,8,6,7,4,4,4,4,12.0,78,+18.127,6192934,13,10,1:16.392,157.257,1
994,6,6,Monaco Grand Prix,2018-05-27,13:10:00,26.64070796460177,50.8929203539823,1015.2106194690266,0.1238938053097345,34.60973451327434,182.50442477876103,1.382300884955752,2018,23886,822,131,77,5,5,5,5,10.0,78,+18.822,6193629,21,9,1:16.312,157.422,1
994,6,6,Monaco Grand Prix,2018-05-27,13:10:00,26.64070796460177,50.8929203539823,1015.2106194690266,0.1238938053097345,34.60973451327434,182.50442477876103,1.382300884955752,2018,23887,839,10,31,6,6,6,6,8.0,78,+23.667,6198474,63,14,1:17.027,155.960,1
994,6,6,Monaco Grand Prix,2018-05-27,13:10:00,26.64070796460177,50.8929203539823,1015.2106194690266,0.1238938053097345,34.60973451327434,182.50442477876103,1.382300884955752,2018,23888,842,5,10,10,7,7,7,6.0,78,+24.331,6199138,68,15,1:17.099,155.815,1
994,6,6,Monaco Grand Prix,2018-05-27,13:10:00,26.64070796460177,50.8929203539823,1015.2106194690266,0.1238938053097345,34.60973451327434,182.50442477876103,1.382300884955752,2018,23889,807,4,27,11,8,8,8,4.0,78,+24.839,6199646,57,6,1:16.061,157.941,1
994,6,6,Monaco Grand Prix,2018-05-27,13:10:00,26.64070796460177,50.8929203539823,1015.2106194690266,0.1238938053097345,34.60973451327434,182.50442477876103,1.382300884955752,2018,23890,830,9,33,20,9,9,9,2.0,78,+25.317,6200124,60,1,1:14.260,161.772,1
994,6,6,Monaco Grand Prix,2018-05-27,13:10:00,26.64070796460177,50.8929203539823,1015.2106194690266,0.1238938053097345,34.60973451327434,182.50442477876103,1.382300884955752,2018,23891,832,4,55,8,10,10,10,1.0,78,+1:09.013,6243820,19,18,1:17.491,155.027,1
994,6,6,Monaco Grand Prix,2018-05-27,13:10:00,26.64070796460177,50.8929203539823,1015.2106194690266,0.1238938053097345,34.60973451327434,182.50442477876103,1.382300884955752,2018,23892,828,15,9,16,11,11,11,0.0,78,+1:09.864,6244671,19,12,1:16.936,156.145,1
994,6,6,Monaco Grand Prix,2018-05-27,13:10:00,26.64070796460177,50.8929203539823,1015.2106194690266,0.1238938053097345,34.60973451327434,182.50442477876103,1.382300884955752,2018,23893,815,10,11,9,12,12,12,0.0,78,+1:10.461,6245268,24,19,1:17.546,154.917,1
994,6,6,Monaco Grand Prix,2018-05-27,13:10:00,26.64070796460177,50.8929203539823,1015.2106194690266,0.1238938053097345,34.60973451327434,182.50442477876103,1.382300884955752,2018,23894,825,210,20,19,13,13,13,0.0,78,+1:14.823,6249630,20,17,1:17.476,155.057,1
994,6,6,Monaco Grand Prix,2018-05-27,13:10:00,26.64070796460177,50.8929203539823,1015.2106194690266,0.1238938053097345,34.60973451327434,182.50442477876103,1.382300884955752,2018,23895,838,1,2,12,14,14,14,0.0,77,\N,\N,76,11,1:16.864,156.291,11
994,6,6,Monaco Grand Prix,2018-05-27,13:10:00,26.64070796460177,50.8929203539823,1015.2106194690266,0.1238938053097345,34.60973451327434,182.50442477876103,1.382300884955752,2018,23896,154,210,8,18,15,15,15,0.0,77,\N,\N,74,2,1:14.822,160.557,11
994,6,6,Monaco Grand Prix,2018-05-27,13:10:00,26.64070796460177,50.8929203539823,1015.2106194690266,0.1238938053097345,34.60973451327434,182.50442477876103,1.382300884955752,2018,23897,845,3,35,13,16,16,16,0.0,77,\N,\N,75,4,1:15.325,159.484,11
994,6,6,Monaco Grand Prix,2018-05-27,13:10:00,26.64070796460177,50.8929203539823,1015.2106194690266,0.1238938053097345,34.60973451327434,182.50442477876103,1.382300884955752,2018,23898,840,3,18,17,17,17,17,0.0,76,\N,\N,61,3,1:14.944,160.295,12
994,6,6,Monaco Grand Prix,2018-05-27,13:10:00,26.64070796460177,50.8929203539823,1015.2106194690266,0.1238938053097345,34.60973451327434,182.50442477876103,1.382300884955752,2018,23899,844,15,16,14,\N,R,18,0.0,70,\N,\N,17,20,1:17.710,154.590,4
994,6,6,Monaco Grand Prix,2018-05-27,13:10:00,26.64070796460177,50.8929203539823,1015.2106194690266,0.1238938053097345,34.60973451327434,182.50442477876103,1.382300884955752,2018,23900,843,5,28,15,\N,R,19,0.0,70,\N,\N,15,16,1:17.172,155.667,4
