raceId,driverId,average_qualifying_time
1,1,86454.0
1,2,85665.5
1,3,85980.66666666667
1,4,85815.5
1,5,85955.0
1,6,85840.5
1,7,86964.0
1,8,86147.33333333333
1,9,85996.0
1,10,85918.33333333333
1,12,86598.0
1,13,86065.33333333333
1,15,86195.33333333333
1,16,86742.0
1,17,85971.33333333333
1,18,85422.66666666667
1,20,85963.0
1,21,86677.0
1,22,85431.33333333333
1,67,86503.0
2,1,95092.5
2,2,94939.5
2,3,95126.66666666667
2,4,95875.0
2,5,94973.5
2,6,95064.5
2,7,95469.0
2,8,95367.33333333333
2,9,95278.0
2,10,94951.66666666667
2,12,95708.0
2,13,95642.0
2,15,94669.33333333333
2,16,95951.0
2,17,95015.33333333333
2,18,94674.33333333333
2,20,94909.66666666667
2,21,95908.0
2,22,94906.33333333333
2,67,96107.0
3,1,96703.66666666667
3,2,96250.0
3,3,96382.33333333333
3,4,96209.0
3,5,96339.0
3,6,96433.0
3,7,96906.0
3,8,96694.0
3,9,96966.0
3,10,96215.0
3,12,96908.0
3,13,96105.5
3,15,96262.66666666667
3,16,97669.0
3,17,95796.66666666667
3,18,95873.66666666667
3,20,95959.66666666667
3,21,97672.0
3,22,95899.0
3,67,97190.0
4,1,93308.0
4,2,93469.5
4,3,93990.66666666667
4,4,93688.33333333333
4,5,93360.5
4,6,93284.5
4,7,94159.0
4,8,93774.66666666667
4,9,93491.0
4,10,93163.33333333333
4,12,93774.5
4,13,93709.66666666667
4,15,92967.0
4,16,93722.0
4,17,94038.0
4,18,93288.0
4,20,93056.33333333333
4,21,93910.0
4,22,93399.0
4,67,93753.0
5,1,80898.0
5,2,80885.5
5,3,81186.33333333333
5,4,81029.0
5,5,81675.0
5,6,80674.5
5,7,81300.0
5,8,81291.0
5,9,81341.33333333333
5,10,80743.66666666667
5,12,80866.0
5,13,80522.33333333333
5,15,80954.33333333333
5,16,81742.0
5,17,80581.66666666667
5,18,80475.33333333333
5,20,80531.66666666667
5,21,82204.0
5,22,80508.0
5,67,81050.0
6,1,76264.0
6,2,76264.0
6,3,75131.66666666667
6,4,75702.33333333333
6,5,75273.33333333333
6,6,76284.33333333333
6,7,76200.5
6,8,75062.33333333333
6,9,76405.0
6,10,76788.0
6,12,75925.0
6,13,75259.33333333333
6,15,76548.0
6,16,76396.5
6,17,75246.0
6,18,75042.66666666667
6,20,75355.0
6,21,76104.5
6,22,75110.33333333333
6,67,75833.5
7,1,88318.0
7,2,87658.0
7,3,88042.0
7,4,88178.66666666667
7,5,88203.0
7,6,87660.0
7,7,88918.0
7,8,87919.33333333333
7,9,88200.0
7,10,87977.5
7,12,88582.0
7,13,87905.0
7,15,87796.66666666667
7,16,88334.5
7,17,87831.66666666667
7,18,87668.66666666667
7,20,87554.0
7,21,88717.0
7,22,87789.33333333333
7,67,88708.0
8,1,79917.0
8,2,79503.5
8,3,79393.33333333333
8,4,79556.33333333333
8,5,79542.5
8,6,79107.0
8,7,79898.0
8,8,79430.33333333333
8,9,79519.0
8,10,79493.0
8,12,79473.5
8,13,79037.5
8,15,79072.33333333333
8,16,79909.0
8,17,78917.0
8,18,79303.0
8,20,78771.0
8,21,79802.0
8,22,79172.0
8,67,80236.0
9,1,94412.66666666667
9,2,97040.5
9,3,97228.5
9,4,96810.0
9,5,95522.0
9,6,97192.0
9,7,93559.0
9,8,96103.0
9,9,92190.0
9,10,92423.0
9,12,94222.66666666667
9,13,95960.66666666667
9,15,97265.5
9,16,94357.0
9,17,93841.66666666667
9,18,94357.66666666667
9,20,94471.33333333333
9,21,92402.0
9,22,92764.66666666667
9,67,92251.0
10,1,81048.66666666667
10,2,81738.0
10,3,81181.66666666667
10,4,81236.0
10,5,81520.33333333333
10,6,81604.0
10,8,81538.33333333333
10,9,81901.0
10,10,81413.0
10,12,81333.5
10,13,81121.5
10,15,81249.0
10,16,81868.0
10,17,81021.0
10,18,81563.0
10,20,81129.66666666667
10,21,81807.0
10,22,81390.0
10,67,81286.5
10,153,82359.0
11,1,98773.33333333333
11,2,98929.0
11,3,99190.0
11,4,99369.33333333333
11,5,98859.33333333333
11,6,99795.0
11,8,99256.33333333333
11,9,99355.0
11,10,99225.0
11,15,99807.0
11,16,98995.5
11,17,99282.33333333333
11,18,98984.33333333333
11,20,99119.0
11,21,99531.0
11,22,98886.0
11,67,99213.0
11,69,101413.0
11,153,99925.0
11,154,99181.0
12,1,105444.5
12,2,105591.66666666667
12,3,105965.0
12,4,105421.5
12,5,105482.0
12,6,106307.0
12,8,105721.66666666667
12,9,105599.33333333333
12,10,105668.0
12,15,105346.0
12,16,105179.0
12,17,105687.33333333333
12,18,105506.0
12,20,105575.0
12,21,105359.0
12,22,105528.0
12,67,105951.0
12,69,106957.0
12,153,106302.0
12,154,106359.0
13,1,83471.33333333333
13,2,83929.5
13,3,84121.0
13,4,84092.33333333333
13,5,83962.66666666667
13,6,84074.0
13,8,83766.0
13,9,83933.5
13,10,84036.0
13,15,83812.5
13,16,83635.66666666667
13,17,84114.0
13,18,83796.0
13,20,84094.33333333333
13,21,83864.5
13,22,83824.66666666667
13,24,83942.66666666667
13,67,84220.0
13,153,84951.0
13,154,83851.5
14,1,107175.0
14,2,107828.66666666667
14,3,107311.66666666667
14,4,107859.33333333333
14,5,108054.0
14,6,107325.0
14,8,107235.0
14,9,107980.66666666667
14,10,107885.66666666667
14,15,107551.5
14,16,108231.0
14,17,107565.33333333333
14,18,107160.5
14,20,107369.0
14,21,108350.0
14,22,107670.66666666667
14,24,108792.0
14,67,107523.0
14,153,108340.0
14,154,108544.0
15,1,91313.0
15,2,91902.0
15,3,91384.0
15,4,91519.5
15,5,91361.0
15,6,91718.0
15,8,91773.33333333333
15,9,91879.0
15,10,91550.0
15,15,91340.0
15,16,91691.33333333333
15,17,
15,18,91627.66666666667
15,20,91128.0
15,21,91704.0
15,22,91662.33333333333
15,24,92087.0
15,67,91149.5
15,153,91571.0
15,154,92073.0
16,1,85192.0
16,2,85515.0
16,3,81174.0
16,4,82640.33333333333
16,5,85052.0
16,6,81420.66666666667
16,8,81531.0
16,9,81616.66666666667
16,15,81784.33333333333
16,16,81704.0
16,17,81731.0
16,18,83400.5
16,20,85009.0
16,21,100703.0
16,22,81778.33333333333
16,24,84645.0
16,67,81847.33333333333
16,153,83502.0
16,154,83435.5
16,155,83147.5
17,1,100172.0
17,2,101178.66666666667
17,3,101362.0
17,4,101667.0
17,5,100895.5
17,6,101122.0
17,8,100913.0
17,9,101019.0
17,15,100929.0
17,16,101836.0
17,17,100888.33333333333
17,18,100806.0
17,20,100755.0
17,21,102184.0
17,22,100927.0
17,24,101701.0
17,67,101350.33333333333
17,153,101596.0
17,154,101950.0
17,155,100906.0
18,1,86157.66666666667
18,2,86238.0
18,3,87013.66666666667
18,4,86547.5
18,5,86065.0
18,6,86652.0
18,7,87446.0
18,8,86140.0
18,9,86095.66666666667
18,10,87558.66666666667
18,11,88208.0
18,12,88330.0
18,13,86287.66666666667
18,14,87161.66666666667
18,15,87018.33333333333
18,16,87859.0
18,17,86914.0
18,18,86485.5
18,19,89059.0
18,20,86272.0
18,21,87207.0
18,22,86271.0
19,1,95576.0
19,2,95710.0
19,3,95756.5
19,4,96524.33333333333
19,5,95533.0
19,6,96388.0
19,7,96677.0
19,8,95354.33333333333
19,9,95777.33333333333
19,10,96849.0
19,11,97087.0
19,12,95818.0
19,13,95169.0
19,14,95733.0
19,15,95625.33333333333
19,16,97101.0
19,17,95805.33333333333
19,18,95527.5
19,19,97481.0
19,20,95879.5
19,21,96240.0
19,22,95910.0
20,1,92654.66666666667
20,2,92927.66666666667
20,3,93034.33333333333
20,4,93469.0
20,5,92754.33333333333
20,6,93164.5
20,7,93165.0
20,8,92667.66666666667
20,9,92578.0
20,10,92664.0
20,11,95725.0
20,12,92882.5
20,13,92082.66666666667
20,14,93433.0
20,15,92882.0
20,16,93845.0
20,17,92782.5
20,18,93404.0
20,19,94140.0
20,20,93562.0
20,21,93501.0
20,22,92726.0
21,1,81429.0
21,2,81607.66666666667
21,3,81410.5
21,4,81351.66666666667
21,5,81492.66666666667
21,6,81403.5
21,7,81632.0
21,8,81099.33333333333
21,9,81361.66666666667
21,10,81328.5
21,11,83496.0
21,12,81667.33333333333
21,13,81390.0
21,14,81810.0
21,15,81531.33333333333
21,16,83224.0
21,17,81635.66666666667
21,18,81484.0
21,19,83318.0
21,20,82108.0
21,21,82516.0
21,22,81298.5
22,1,86864.0
22,2,87865.33333333333
22,3,87189.5
22,4,87260.0
22,5,86944.66666666667
22,6,87547.0
22,7,87621.0
22,8,86814.33333333333
22,9,87093.33333333333
22,10,87210.0
22,12,87568.0
22,13,86601.0
22,14,87806.0
22,15,87451.0
22,16,88325.0
22,17,87218.66666666667
22,18,87363.0
22,20,87427.0
22,21,87807.0
22,22,87287.0
23,1,75581.0
23,2,76552.5
23,3,75923.33333333333
23,4,76441.66666666667
23,5,75616.33333333333
23,6,76617.5
23,7,76806.0
23,8,75645.33333333333
23,9,75877.0
23,10,76096.0
23,12,76933.0
23,13,75362.33333333333
23,14,75962.5
23,15,76369.0
23,16,77225.0
23,17,76387.33333333333
23,18,76180.0
23,20,76955.0
23,21,77823.0
23,22,76372.5
24,1,77276.33333333333
24,2,78498.66666666667
24,3,78242.0
24,4,77883.0
24,5,78020.0
24,6,77850.0
24,7,78916.0
24,8,77800.0
24,9,77882.66666666667
24,10,78176.0
24,12,78449.0
24,13,77877.33333333333
24,14,78203.0
24,15,78183.0
24,16,79108.0
24,17,77552.5
24,18,83565.0
24,20,
24,21,79165.0
24,22,79041.33333333333
25,1,75873.33333333333
25,2,75896.0
25,3,76160.0
25,4,76025.66666666667
25,5,76182.66666666667
25,6,76243.0
25,7,76058.5
25,8,75581.0
25,9,76149.0
25,10,76293.66666666667
25,12,75809.0
25,13,75518.33333333333
25,14,76294.0
25,15,75934.33333333333
25,16,77053.0
25,17,76247.0
25,18,76306.0
25,20,75867.0
25,21,76971.0
25,22,76330.0
26,1,80553.33333333333
26,2,80899.0
26,3,81668.0
26,4,81006.33333333333
26,5,80201.0
26,6,81259.5
26,7,80557.5
26,8,80682.33333333333
26,9,80116.0
26,10,80583.5
26,12,81141.33333333333
26,13,81355.66666666667
26,14,80699.0
26,15,80873.0
26,16,81786.0
26,17,80748.66666666667
26,18,81631.0
26,20,81226.0
26,21,81885.0
26,22,81512.0
27,1,75162.33333333333
27,2,75588.5
27,3,75748.0
27,4,75748.33333333333
27,5,75491.33333333333
27,6,76083.0
27,7,75892.5
27,8,75513.0
27,9,75871.66666666667
27,10,75534.0
27,12,76189.0
27,13,75175.66666666667
27,14,76272.0
27,15,75624.33333333333
27,16,76657.0
27,17,76131.66666666667
27,18,75847.0
27,20,76065.33333333333
27,21,76963.0
27,22,76246.0
28,1,79916.0
28,2,81045.0
28,3,80748.0
28,4,80581.0
28,5,80188.33333333333
28,6,81085.0
28,7,80801.5
28,8,80356.0
28,9,80370.0
28,10,80184.0
28,12,81028.33333333333
28,13,79945.66666666667
28,14,80503.5
28,15,80398.33333333333
28,16,82113.0
28,17,80617.0
28,18,80610.0
28,20,80150.5
28,21,81670.0
28,22,81332.0
29,1,98539.0
29,2,99076.0
29,3,99217.33333333333
29,4,98351.5
29,5,98904.33333333333
29,6,98547.5
29,7,99263.0
29,8,98806.66666666667
29,9,98596.33333333333
29,10,98515.5
29,12,98765.5
29,13,98341.33333333333
29,14,99235.0
29,15,98728.33333333333
29,16,99943.0
29,17,98537.0
29,18,98880.0
29,20,98708.33333333333
29,21,99268.0
29,22,99811.0
30,1,106771.0
30,2,107348.33333333333
30,3,107466.0
30,4,107383.0
30,5,106888.0
30,6,108268.0
30,7,107424.0
30,8,107083.33333333333
30,9,107450.0
30,10,107177.0
30,12,107008.5
30,13,106980.66666666667
30,14,107075.0
30,15,107174.5
30,16,108226.0
30,17,107606.66666666667
30,18,108211.0
30,20,108091.66666666667
30,21,108447.0
30,22,108153.0
31,1,97329.5
31,2,97413.66666666667
31,3,96716.66666666667
31,4,97522.0
31,5,96229.33333333333
31,6,96653.0
31,7,96721.0
31,8,96743.5
31,9,96125.0
31,10,97349.66666666667
31,12,96630.0
31,13,97035.33333333333
31,14,96884.5
31,15,97022.0
31,16,97417.0
31,17,96808.0
31,18,97006.0
31,20,96285.33333333333
31,21,96489.0
31,22,96510.0
32,1,104966.0
32,2,105344.0
32,3,105381.0
32,4,104971.0
32,5,104797.0
32,6,105833.33333333333
32,7,106389.0
32,8,104710.33333333333
32,9,105012.66666666667
32,10,105317.66666666667
32,12,106037.0
32,13,104444.66666666667
32,14,105663.0
32,15,105340.0
32,16,107940.0
32,17,105352.5
32,18,105396.5
32,20,105182.33333333333
32,21,
32,22,106583.0
33,1,77979.0
33,2,78835.0
33,3,78706.0
33,4,78337.66666666667
33,5,78133.66666666667
33,6,78617.0
33,7,78954.0
33,8,78179.0
33,9,78531.33333333333
33,10,78244.33333333333
33,12,78287.0
33,13,78090.33333333333
33,14,78245.0
33,15,78356.0
33,16,79163.0
33,17,78363.0
33,18,79100.0
33,20,78637.0
33,21,79910.0
33,22,78882.0
34,1,95605.33333333333
34,2,96276.0
34,3,96322.0
34,4,96052.33333333333
34,5,95923.0
34,6,96863.0
34,7,96867.33333333333
34,8,95994.33333333333
34,9,96158.5
34,10,96073.5
34,12,95875.5
34,13,95998.33333333333
34,14,96731.0
34,15,96584.33333333333
34,16,97730.0
34,17,96335.66666666667
34,18,97053.0
34,20,96274.33333333333
34,21,97739.0
34,22,96359.5
35,1,72299.66666666667
35,2,72564.66666666667
35,3,73002.0
35,4,72423.66666666667
35,5,72350.33333333333
35,6,72800.0
35,7,72892.66666666667
35,8,72286.0
35,9,72340.5
35,10,72787.33333333333
35,12,72242.5
35,13,72024.33333333333
35,14,72703.5
35,15,72356.66666666667
35,16,73508.0
35,17,72349.0
