raceId,round,circuitId,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Year,resultId,driverId,constructorId,grid,positionOrder,points,laps,totalLapTime,fastestLap,rank,fastestLapSpeed,statusId,totalPitStops,totalPitTime,averagePitTime,averageLapTime,average_qualifying_time
989,1,1,24.077477477477476,30.915315315315315,997.0036036036036,0.045045045045045,36.32432432432432,294.1261261261261,3.691891891891892,2018,23782,20,6,3,1,25.0,58,5373283,53,4,220.782,1,1,21787,21787.0,92642.81034482758,82376.66666666667
989,1,1,24.077477477477476,30.915315315315315,997.0036036036036,0.045045045045045,36.32432432432432,294.1261261261261,3.691891891891892,2018,23783,1,131,1,2,18.0,58,5378319,50,3,220.845,1,1,21821,21821.0,92729.63793103448,82013.0
989,1,1,24.077477477477476,30.915315315315315,997.0036036036036,0.045045045045045,36.32432432432432,294.1261261261261,3.691891891891892,2018,23784,8,6,2,3,15.0,58,5379592,57,2,221.027,1,1,21421,21421.0,92751.58620689655,82477.0
989,1,1,24.077477477477476,30.915315315315315,997.0036036036036,0.045045045045045,36.32432432432432,294.1261261261261,3.691891891891892,2018,23785,817,9,8,4,12.0,58,5380352,54,1,222.128,1,1,21440,21440.0,92764.68965517242,82847.66666666667
989,1,1,24.077477477477476,30.915315315315315,997.0036036036036,0.045045045045045,36.32432432432432,294.1261261261261,3.691891891891892,2018,23786,4,1,10,5,10.0,58,5401169,57,7,219.489,1,1,22573,22573.0,93123.60344827586,83644.5
989,1,1,24.077477477477476,30.915315315315315,997.0036036036036,0.045045045045045,36.32432432432432,294.1261261261261,3.691891891891892,2018,23787,830,9,4,6,8.0,58,5402228,54,5,219.737,1,1,20953,20953.0,93141.86206896552,82592.66666666667
989,1,1,24.077477477477476,30.915315315315315,997.0036036036036,0.045045045045045,36.32432432432432,294.1261261261261,3.691891891891892,2018,23788,807,4,7,7,6.0,58,5405954,57,9,219.230,1,1,22628,22628.0,93206.10344827586,83619.33333333333
989,1,1,24.077477477477476,30.915315315315315,997.0036036036036,0.045045045045045,36.32432432432432,294.1261261261261,3.691891891891892,2018,23789,822,131,15,8,4.0,58,5407622,54,8,219.386,1,1,21664,21664.0,93234.86206896552,82887.5
989,1,1,24.077477477477476,30.915315315315315,997.0036036036036,0.045045045045045,36.32432432432432,294.1261261261261,3.691891891891892,2018,23790,838,1,11,9,2.0,58,5408204,57,6,219.540,1,1,22474,22474.0,93244.89655172414,83963.0
989,1,1,24.077477477477476,30.915315315315315,997.0036036036036,0.045045045045045,36.32432432432432,294.1261261261261,3.691891891891892,2018,23791,832,4,9,10,1.0,58,5419005,51,12,217.079,1,1,23868,23868.0,93431.12068965517,83389.0
989,1,1,24.077477477477476,30.915315315315315,997.0036036036036,0.045045045045045,36.32432432432432,294.1261261261261,3.691891891891892,2018,23792,815,10,12,11,0.0,58,5420100,51,11,217.849,1,1,22327,22327.0,93450.0,84174.5
989,1,1,24.077477477477476,30.915315315315315,997.0036036036036,0.045045045045045,36.32432432432432,294.1261261261261,3.691891891891892,2018,23793,839,10,14,12,0.0,58,5433561,57,10,217.931,1,1,21854,21854.0,93682.08620689655,84644.5
989,1,1,24.077477477477476,30.915315315315315,997.0036036036036,0.045045045045045,36.32432432432432,294.1261261261261,3.691891891891892,2018,23794,844,15,18,13,0.0,58,5449042,56,15,215.085,1,2,45078,22539.0,93949.0,84636.0
989,1,1,24.077477477477476,30.915315315315315,997.0036036036036,0.045045045045045,36.32432432432432,294.1261261261261,3.691891891891892,2018,23795,840,3,13,14,0.0,58,5451571,55,14,215.688,1,2,46901,23450.5,93992.60344827586,84347.0
989,1,1,24.077477477477476,30.915315315315315,997.0036036036036,0.045045045045045,36.32432432432432,294.1261261261261,3.691891891891892,2018,23796,843,5,16,15,0.0,57,\N,57,13,216.507,11,2,44509,22254.5,94662.43859649122,84532.0
989,1,1,24.077477477477476,30.915315315315315,997.0036036036036,0.045045045045045,36.32432432432432,294.1261261261261,3.691891891891892,2018,23797,154,210,6,16,0.0,24,\N,23,16,214.974,36,1,23054,23054.0,91369.91666666667,83492.66666666667
989,1,1,24.077477477477476,30.915315315315315,997.0036036036036,0.045045045045045,36.32432432432432,294.1261261261261,3.691891891891892,2018,23798,825,210,5,17,0.0,22,\N,21,17,213.224,36,1,21983,21983.0,91430.31818181818,83465.33333333333
990,2,3,27.982524271844657,47.363106796116504,1009.4941747572816,0.0,32.19805825242719,167.40776699029126,0.958252427184466,2018,23802,20,6,1,1,25.0,57,5521940,21,7,206.274,1,1,24524,24524.0,96876.14035087719,88453.0
990,2,3,27.982524271844657,47.363106796116504,1009.4941747572816,0.0,32.19805825242719,167.40776699029126,0.958252427184466,2018,23803,822,131,3,2,18.0,57,5522639,22,1,207.842,1,1,26105,26105.0,96888.40350877192,88731.0
990,2,3,27.982524271844657,47.363106796116504,1009.4941747572816,0.0,32.19805825242719,167.40776699029126,0.958252427184466,2018,23804,1,131,9,3,15.0,57,5528452,51,2,207.371,1,1,24302,24302.0,96990.38596491228,88691.33333333333
990,2,3,27.982524271844657,47.363106796116504,1009.4941747572816,0.0,32.19805825242719,167.40776699029126,0.958252427184466,2018,23805,842,5,5,4,12.0,57,5584174,46,11,205.382,1,2,49792,24896.0,97967.9649122807,89762.0
990,2,3,27.982524271844657,47.363106796116504,1009.4941747572816,0.0,32.19805825242719,167.40776699029126,0.958252427184466,2018,23806,825,210,6,5,10.0,57,5596986,29,5,206.549,1,2,49735,24867.5,98192.73684210527,89525.0
